Pays;Annee;actu_moyenne;actu_top3;consulat_moyenne;consulat_top3;guides_moyenne;guides_top3;loisirs_moyenne;loisirs_top3;politique_moyenne;politique_top3;religion_moyenne;religion_top3;reservations_moyenne;reservations_top3;sante_moyenne;sante_top3;stats_moyenne;stats_top3;tourisme_moyenne;tourisme_top3
Égypte;2005;-0,148835987;1,633072667;-0,003048894;0,016358614;0,020645567;0,405301767;-0,005939785;-0,00027427;-0,017882977;0,739441687;-0,009787222;0,009050648;-0,015530408;0,016896342;-0,015421148;-0,003495945;0,029989025;0,585575762;-0,130568197;1,77728663
Égypte;2010;0,235285845;2,195695135;-0,002380923;0,022086596;0,027922424;0,446697108;-0,006202341;0,00264243;-0,054395964;0,637578482;-0,011233048;0,014853277;-0,009238522;0,044677479;0,028173492;0,359317882;-0,06605475;0,178741662;0,255155665;2,464014935
Égypte;2015;0,301869861;2,138863786;-0,00067352;0,014024095;0,011937204;0,369171638;-0,007322305;-0,004558289;-0,016073344;0,718158319;-0,004949569;0,03637662;-0,010098887;0,040870154;-0,016123977;0,014046859;-0,049042819;0,443361691;0,191320956;2,22253818
Égypte;2019;-0,206141781;1,680495387;0,001461617;0,057868326;-0,031763315;-0,008692064;-0,007342013;-0,00338084;0,165280891;0,941571551;0,04685627;0,494231027;-0,015539848;0,011006638;-0,003663611;0,134644752;-0,058372445;0,571575418;-0,062095114;2,108164648
Émirats arabes unis;2005;0,158610353;1,821053061;-0,002730455;0,008289997;0,057286525;0,694713809;-0,00485857;0,004264912;-0,08352251;0,687871471;0,00434786;0,159330622;0,021256456;0,22453453;0,025962764;0,364810402;0,16422347;1,476198359;0,112542452;1,860212936
Émirats arabes unis;2010;0,0854965;1,761947304;-7,06736E-05;0,024719255;0,035758721;0,514843751;-0,00498519;0,003256949;-0,11957487;0,641355519;-0,009939672;0,008489909;-0,005126238;0,035429323;-0,013712498;0,002813716;-0,053214135;0,616165323;0,221909134;1,974878774
Émirats arabes unis;2015;0,15392899;2,237360752;5,97116E-05;0,014277245;0,061711719;0,622291822;-0,006255262;0,002269037;-0,075765306;0,589120823;-0,011004721;0,00920017;0,027208168;0,271651699;-0,014642048;0,013954982;-0,106893382;0,168834353;0,113110595;2,433681276
Émirats arabes unis;2019;-0,424751342;1,700707921;0,002166743;0,042982226;-0,029623143;0,002159443;-0,006832292;-0,003461242;0,161185086;0,780091853;0,019424101;0,237794565;-0,008195533;0,040899027;-0,018922442;-0,011399918;-0,058064088;0,380828506;-0,380385727;1,684001422
Équateur;2005;0,53316357;2,21113317;-0,003700638;0,012378217;0,08470406;0,99312152;-0,005897191;-0,001060351;-0,216656869;0,269552248;-0,016545284;0,001226727;-0,01932622;-0,009902009;-0,006973606;0,057390637;0,009464762;0,71225182;0,690884069;2,290389606
Équateur;2010;0,942604702;2,323251125;-0,003226061;0,009107493;0,058302841;0,623858818;-0,006260825;-0,002544944;-0,185818011;0,553920888;-0,013719527;0,00667343;-0,015569838;-0,000372915;-0,01686048;0,002924076;-0,09951138;0,122844256;1,096534206;2,637097388
Équateur;2015;0,675213904;2,406954069;-0,001857509;0,015227065;0,012088598;0,371405445;-0,007060169;-0,003024821;-0,147441823;0,493137798;-0,0162555;0,005118436;-0,016516165;0,004153151;-0,014231091;0,015320246;-0,079589708;0,26312647;0,701593768;2,617051379
Équateur;2019;-0,565731848;0,893962523;0,004968245;0,066216068;-0,035321727;-0,015461793;0,006507407;0,104724847;0,352549104;0,718529271;0,029736856;0,283675832;-0,017732134;-0,000570852;0,035294241;0,405661871;0,030371728;0,539280626;-0,558997503;0,451824764
Érythrée;2005;-0,353236317;0,969718697;-0,001902565;0,014475937;-0,027370361;0,011060929;-0,005458812;-7,28477E-05;0,073728989;0,915043344;-0,008816239;0,027035608;-0,004477387;0,062944213;-0,004085795;0,079065986;0,234405778;1,401103327;-0,38080098;0,52504885
Érythrée;2010;-0,269118663;1,915211551;-0,000916103;0,019992437;-0,019111307;0,035435846;-0,005053295;0,006670967;0,127076879;0,690023844;-0,004050609;0,0274348;-0,007564028;0,031921462;-0,010180857;0,032830923;0,098226469;0,605462972;-0,357308494;1,423174676
Érythrée;2015;-0,645899822;0,661603569;-0,0059076;-0,002451663;-0,034144952;-0,015989547;-0,007609929;-0,005926569;0,371127618;0,774061132;0,031048746;0,188300335;-0,017208323;-0,000198625;-0,019929126;-0,016288569;-0,066382215;0,153629684;-0,661413953;-0,400291103
Érythrée;2019;-0,826940025;-0,509983066;0,001755196;0,033383193;-0,034819502;-0,029311499;-0,00586912;-0,000498981;0,450863247;0,843905782;0,019815552;0,174047136;-0,015637205;0,003327783;-0,017099495;-0,006679618;-0,010197063;0,618030891;-0,70063564;-0,633785441
États-Unis;2005;-0,58321019;0,356200829;-1,35976E-05;0,017139257;-0,032018549;-0,017426838;-0,005855535;-0,000613108;0,293952425;0,829707569;-0,006936963;0,037654198;-0,012209511;0,011538187;-0,016757982;-0,005611417;0,237122836;1,008955303;-0,625911458;-0,060296086
États-Unis;2010;-0,242331957;1,777172277;0,000171204;0,019550234;-0,028760037;0,018205617;-0,005577893;0,003417831;-0,033265863;0,489821349;-0,012959682;0,020120706;-0,006054916;0,050195127;-0,01351526;0,027326995;-0,025887651;0,240890563;-0,30448865;1,185407063
États-Unis;2015;-0,204508605;1,841814122;-0,000329024;0,016622738;-0,017513942;0,12595827;-0,00550783;0,009482982;-0,037924754;0,604466688;-0,012848664;0,016043896;0,015232506;0,242086857;-0,008199782;0,082762476;-0,077610555;0,370603204;-0,106166559;1,791394497
États-Unis;2019;-0,568119359;1,082605134;0,001213189;0,038572434;-0,035048422;-0,022547307;0,012909756;0,175580638;0,207817135;0,796653139;0,021297566;0,258486154;-0,009695517;0,039002051;-0,01763852;-0,002326915;-0,022037393;0,638553207;-0,508881114;0,930012139
Éthiopie;2005;-0,024145733;2,220343399;-0,00139605;0,02007042;0,072966673;0,769559034;-0,004114369;0,011770465;-0,01497377;0,669624731;-0,00914619;0,015954125;-0,01592355;0,00891685;-0,009752363;0,035619065;0,028129428;0,857588158;0,05585617;2,391958915
