,Pays,Annee,Type_contenu,Prox_moyenne,Moyenne,Ecart_type,prox_harmonisee
0,Afghanistan,2005,tourisme,-0.49867445141497263,-0.0876920832216669,0.4107875332957711,-0.5002371480166053
1,Afrique du Sud,2005,tourisme,0.22861446895617324,-0.0876920832216669,0.4107875332957711,0.3850001844507003
2,Albanie,2005,tourisme,-0.3853976786783393,-0.0876920832216669,0.4107875332957711,-0.36235957925519785
3,Algérie,2005,tourisme,-0.3487350283258972,-0.0876920832216669,0.4107875332957711,-0.3177347460010146
4,Allemagne,2005,tourisme,-0.5826958469639515,-0.0876920832216669,0.4107875332957711,-0.6025058255430027
5,Andorre,2005,tourisme,0.3279667254532445,-0.0876920832216669,0.4107875332957711,0.5059291908642622
6,Angola,2005,tourisme,-0.49923554060777725,-0.0876920832216669,0.4107875332957711,-0.5009200913234567
7,Antigua-et-Barbuda,2005,tourisme,-0.13470710636164887,-0.0876920832216669,0.4107875332957711,-0.05722547464230211
8,Arabie Saoudite,2005,tourisme,-0.42737866815227193,-0.0876920832216669,0.4107875332957711,-0.4134577578405079
9,Argentine,2005,tourisme,-0.25305327371370395,-0.0876920832216669,0.4107875332957711,-0.20127337989706634
10,Arménie,2005,tourisme,-0.5709584386332983,-0.0876920832216669,0.4107875332957711,-0.5882193545825973
11,Australie,2005,tourisme,0.19305426257253047,-0.0876920832216669,0.4107875332957711,0.3417172175866121
12,Autriche,2005,tourisme,0.28580635207500515,-0.0876920832216669,0.4107875332957711,0.4546126708131493
13,Azerbaïdjan,2005,tourisme,-0.5659223979685394,-0.0876920832216669,0.4107875332957711,-0.582089615658494
14,Bahamas,2005,tourisme,0.3706232440953797,-0.0876920832216669,0.4107875332957711,0.5578496061454901
15,Bahreïn,2005,tourisme,-0.39574812972294987,-0.0876920832216669,0.4107875332957711,-0.3749578815473443
16,Bangladesh,2005,tourisme,-0.3936376888380846,-0.0876920832216669,0.4107875332957711,-0.372389107285948
17,Barbade,2005,tourisme,0.03142506635230262,-0.0876920832216669,0.4107875332957711,0.1449863249479433
18,Belgique,2005,tourisme,-0.45358505571493934,-0.0876920832216669,0.4107875332957711,-0.44535549747297937
19,Belize,2005,tourisme,0.6068093109572634,-0.0876920832216669,0.4107875332957711,0.845329200483407
20,Bhoutan,2005,tourisme,0.25527530638864804,-0.0876920832216669,0.4107875332957711,0.4174510687540449
21,Birmanie,2005,tourisme,0.36091906736018303,-0.0876920832216669,0.4107875332957711,0.5460379322890081
22,Biélorussie,2005,tourisme,-0.3991139597364768,-0.0876920832216669,0.4107875332957711,-0.37905468310619717
23,Bolivie,2005,tourisme,0.3459244124034246,-0.0876920832216669,0.4107875332957711,0.527786824670849
24,Bosnie-Herzégovine,2005,tourisme,-0.4437174399679689,-0.0876920832216669,0.4107875332957711,-0.43334488986300396
25,Botswana,2005,tourisme,0.8111748412659525,-0.0876920832216669,0.4107875332957711,1.0940776577078184
26,Brunei,2005,tourisme,-0.1827394740929142,-0.0876920832216669,0.4107875332957711,-0.11568923490530106
27,Brésil,2005,tourisme,-0.5987255497329096,-0.0876920832216669,0.4107875332957711,-0.6220167666861661
28,Bulgarie,2005,tourisme,-0.03337587463740194,-0.0876920832216669,0.4107875332957711,0.06611228942183689
29,Burkina Faso,2005,tourisme,-0.3643159815057011,-0.0876920832216669,0.4107875332957711,-0.3366994807080261
