,Pays,Annee,Type_contenu,Prox_moyenne,Prox_top3
0,Afghanistan,2005,tourisme,-0.49867445141497263,0.9726488129731542
1,Afghanistan,2010,tourisme,-0.6326103018039172,-0.1231679278075992
2,Afghanistan,2015,tourisme,-0.647653034405971,-0.2792752054705519
3,Afghanistan,2019,tourisme,-0.6101679732458177,0.270360227059324
4,Afrique du Sud,2005,tourisme,0.22861446895617324,2.3792615068000083
5,Afrique du Sud,2010,tourisme,0.7542845772799265,2.7341908333208456
6,Afrique du Sud,2015,tourisme,0.08587827921697842,2.426243305207073
7,Afrique du Sud,2019,tourisme,-0.42465505405821447,1.3727426798987243
8,Albanie,2005,tourisme,-0.3853976786783393,0.759142119073931
9,Albanie,2010,tourisme,0.5598935739678139,2.3503820676863576
10,Albanie,2015,tourisme,0.38331081328922645,2.3189658381632974
11,Albanie,2019,tourisme,-0.3441071140994437,1.120864579527897
12,Algérie,2005,tourisme,-0.3487350283258972,1.2748081326054939
13,Algérie,2010,tourisme,-0.20095466549201538,1.615924926434148
14,Algérie,2015,tourisme,-0.19748914131209092,1.8748752376942945
15,Algérie,2019,tourisme,-0.6573778474270242,-0.24315015334769471
16,Allemagne,2005,tourisme,-0.5826958469639515,-0.014284704203998189
17,Allemagne,2010,tourisme,-0.3237861419978964,1.2738512657272947
18,Allemagne,2015,tourisme,-0.17308567789833681,2.382307379557886
19,Allemagne,2019,tourisme,-0.5638112677671271,0.5882150142386022
20,Andorre,2005,tourisme,0.3279667254532445,1.6915587816436197
21,Andorre,2010,tourisme,0.7852943613495653,2.281441830427593
22,Andorre,2015,tourisme,0.5044470148203359,2.4657727970290257
23,Andorre,2019,tourisme,-0.43126932326492723,1.2761987308870175
24,Angola,2005,tourisme,-0.49923554060777725,0.18755184192836463
25,Angola,2010,tourisme,-0.2747499747092832,1.4903116780199996
26,Angola,2015,tourisme,-0.49798086170755923,0.36147542013338185
27,Angola,2019,tourisme,-0.6161362709538577,-0.03720598550747867
28,Antigua-et-Barbuda,2005,tourisme,-0.13470710636164887,1.5783699979941777
29,Antigua-et-Barbuda,2010,tourisme,0.6682091148410759,2.2394134855282952
30,Antigua-et-Barbuda,2015,tourisme,1.241571132940928,2.3876530041320847
31,Antigua-et-Barbuda,2019,tourisme,0.44387765691192993,2.2584986649147347
32,Arabie Saoudite,2005,tourisme,-0.42737866815227193,1.055832853040495
33,Arabie Saoudite,2010,tourisme,-0.3126686461217417,1.602185886800667
34,Arabie Saoudite,2015,tourisme,-0.5864973438266887,0.07175375128321122
35,Arabie Saoudite,2019,tourisme,-0.48263110359059674,0.930742718444253
36,Argentine,2005,tourisme,-0.25305327371370395,1.7584335109335054
37,Argentine,2010,tourisme,0.5034728501418785,2.5590746104938855
38,Argentine,2015,tourisme,0.4735623055108251,2.669980483954657
39,Argentine,2019,tourisme,-0.21162811463392675,2.292868498753061
40,Arménie,2005,tourisme,-0.5709584386332983,-0.015692166127018986
41,Arménie,2010,tourisme,-0.1276111105009553,2.2764137029631186
42,Arménie,2015,tourisme,-0.2576242346764588,1.8766287292427641
43,Arménie,2019,tourisme,-0.39679537725060476,1.1197770489796284
44,Australie,2005,tourisme,0.19305426257253047,2.2790580729280534
45,Australie,2010,tourisme,0.788779170202754,2.4494953113807676
46,Australie,2015,tourisme,0.20361006216388508,1.9402870566163941
47,Australie,2019,tourisme,-0.41776256803061246,1.253600520069221
48,Autriche,2005,tourisme,0.28580635207500515,2.189811196456836
49,Autriche,2010,tourisme,0.5008530109367955,2.0001392530048414
50,Autriche,2015,tourisme,0.5896970482306937,2.4246468093113442
51,Autriche,2019,tourisme,-0.4647159386485699,1.2055839290001187
52,Azerbaïdjan,2005,tourisme,-0.5659223979685394,0.11790011039343655
53,Azerbaïdjan,2010,tourisme,-0.15282636557347118,1.5004344791889794
54,Azerbaïdjan,2015,tourisme,0.36172442050428144,2.576875620987602
55,Azerbaïdjan,2019,tourisme,-0.4257697470717179,1.4134511045510048
56,Bahamas,2005,tourisme,0.3706232440953797,1.9753235940781828
57,Bahamas,2010,tourisme,1.1183741891388161,2.7438880294886654
58,Bahamas,2015,tourisme,1.3485922153857175,2.6609897191945504
59,Bahamas,2019,tourisme,-0.4272006094035866,0.9231965637901731
60,Bahreïn,2005,tourisme,-0.39574812972294987,0.7819308065794294
61,Bahreïn,2010,tourisme,-0.29761192431552763,1.1458939802273136
62,Bahreïn,2015,tourisme,0.13221170738408328,1.989977036471452
63,Bahreïn,2019,tourisme,-0.347087763568409,1.4481782960744878
64,Bangladesh,2005,tourisme,-0.3936376888380846,1.048896142983155
65,Bangladesh,2010,tourisme,-0.261981697613951,1.3662172255160303
66,Bangladesh,2015,tourisme,-0.44681561830130245,0.3448027136049827
67,Bangladesh,2019,tourisme,-0.6776039668264301,-0.4504271119727607
68,Barbade,2005,tourisme,0.03142506635230262,1.6502622904892565
69,Barbade,2010,tourisme,0.6111342577748122,2.319011395140991
70,Barbade,2015,tourisme,1.1825595770116106,2.491378977996511
71,Barbade,2019,tourisme,-0.19543598859506425,1.7515633213926993
72,Belgique,2005,tourisme,-0.45358505571493934,0.41673205640644095
73,Belgique,2010,tourisme,-0.30123195615916404,1.289519089881703
74,Belgique,2015,tourisme,-0.19089494243598212,1.7327536450102754
75,Belgique,2019,tourisme,-0.5371641790653156,0.6711426404753017
76,Belize,2005,tourisme,0.6068093109572634,2.509633609657561
77,Belize,2010,tourisme,1.228219968725837,2.434031942671586
78,Belize,2015,tourisme,1.4830231922624468,2.6300588723943505
79,Belize,2019,tourisme,0.7311853955096048,2.524433469949764
80,Bhoutan,2005,tourisme,0.25527530638864804,2.4869781929296058
81,Bhoutan,2010,tourisme,0.39880536094499197,2.4802625268304386
82,Bhoutan,2015,tourisme,0.2883632106372294,2.137909606098439
83,Bhoutan,2019,tourisme,0.16997500264848947,1.7582671814580728
84,Birmanie,2005,tourisme,0.36091906736018303,2.0067815950175008
85,Birmanie,2010,tourisme,0.844183113446948,2.5897073188120103
86,Birmanie,2015,tourisme,0.6614717937421659,2.6416231127448984
87,Birmanie,2019,tourisme,0.028278470648323173,2.4248018777620963
88,Biélorussie,2005,tourisme,-0.3991139597364768,1.099214479229926
89,Biélorussie,2010,tourisme,-0.28375254103128833,1.8217403370311278
90,Biélorussie,2015,tourisme,-0.01141414215256257,2.1250062703271904
91,Biélorussie,2019,tourisme,-0.4099076433990534,1.5765014497216037
92,Bolivie,2005,tourisme,0.3459244124034246,2.4027701859568986
93,Bolivie,2010,tourisme,0.07031859909859182,1.8905254319800744
94,Bolivie,2015,tourisme,0.40158934176300903,1.9004899666720991
95,Bolivie,2019,tourisme,-0.2948616762658774,2.0442503321514804
96,Bosnie-Herzégovine,2005,tourisme,-0.4437174399679689,0.9661722433672074
97,Bosnie-Herzégovine,2010,tourisme,-0.06369064424874203,2.1422697905310453
98,Bosnie-Herzégovine,2015,tourisme,-0.20315615285606026,2.2282267949304937
99,Bosnie-Herzégovine,2019,tourisme,-0.4007378743391739,1.1453531305857962
100,Botswana,2005,tourisme,0.8111748412659525,2.6460620286043923
101,Botswana,2010,tourisme,0.8671096484990357,2.6832859643906466
102,Botswana,2015,tourisme,1.124153941141534,2.4707172210391204
103,Botswana,2019,tourisme,-0.02484776133320276,2.206377364208473
104,Brunei,2005,tourisme,-0.1827394740929142,1.6521654628929598
105,Brunei,2010,tourisme,0.17870966731746601,2.478808769942121
106,Brunei,2015,tourisme,0.535747721861644,2.304163271995938
107,Brunei,2019,tourisme,-0.5843126023182366,0.42614798564738066
108,Brésil,2005,tourisme,-0.5987255497329096,-0.21631804130267138
109,Brésil,2010,tourisme,-0.23366711916771482,1.9515333455843704
110,Brésil,2015,tourisme,-0.22832521345604356,1.6241198996976236
111,Brésil,2019,tourisme,-0.5869332891541521,0.27111236377110887
112,Bulgarie,2005,tourisme,-0.03337587463740194,2.273575293585793
113,Bulgarie,2010,tourisme,0.20894500022077028,2.053849303501714
114,Bulgarie,2015,tourisme,0.37899474895180313,2.168036238648624
115,Bulgarie,2019,tourisme,-0.4266475524603186,1.4281136421101317
116,Burkina Faso,2005,tourisme,-0.3643159815057011,1.2496395935562077
117,Burkina Faso,2010,tourisme,-0.34352411486628204,1.4273297338233475
118,Burkina Faso,2015,tourisme,-0.29206236902134736,1.8296884324613216
119,Burkina Faso,2019,tourisme,-0.6641028518760833,-0.3270553641022491
120,Burundi,2005,tourisme,-0.6498209523540778,-0.3595368671175396
121,Burundi,2010,tourisme,-0.4968493353380004,0.5313649733460407
122,Burundi,2015,tourisme,-0.5741086993572675,0.05536452877116641
123,Burundi,2019,tourisme,-0.6902144713866843,-0.5796321103247462
124,Bénin,2005,tourisme,-0.4043607588022243,0.9290852446742462
125,Bénin,2010,tourisme,-0.18047299207113196,1.6825560988329178
126,Bénin,2015,tourisme,-0.1762196293590956,1.6599567689931949
127,Bénin,2019,tourisme,-0.6183246724835523,0.05825290630322485
128,Cambodge,2005,tourisme,0.23549961389990048,2.236057693976997
129,Cambodge,2010,tourisme,0.5694493228928174,2.4566573697246796
130,Cambodge,2015,tourisme,0.47829622061975036,2.669107555699078
131,Cambodge,2019,tourisme,0.1450253670658258,1.9891437055858001
132,Cameroun,2005,tourisme,-0.2458575755632002,1.223503714196376
133,Cameroun,2010,tourisme,-0.3834291685165795,0.8986136290305428
134,Cameroun,2015,tourisme,-0.22171504438825781,1.5751800921701946
135,Cameroun,2019,tourisme,-0.6469957441885625,-0.31247815862745126
136,Canada,2005,tourisme,-0.3546548608830749,0.7088785812084447
137,Canada,2010,tourisme,-0.2086615560890032,2.0370007887067083
138,Canada,2015,tourisme,0.35403240959208365,2.603207457104141
139,Canada,2019,tourisme,-0.04969475374451074,2.1918452104291455
140,Cap-Vert,2005,tourisme,0.8277945748027795,2.5586333625426954
141,Cap-Vert,2010,tourisme,1.1721245928578659,2.715522041810111
142,Cap-Vert,2015,tourisme,0.7659943313727285,2.5842582162776604
143,Cap-Vert,2019,tourisme,0.5374357796149775,2.514442140059495
144,Chili,2005,tourisme,0.03257260134853185,2.2937348633151813
145,Chili,2010,tourisme,-0.021675516326782045,2.086519860407131
146,Chili,2015,tourisme,0.3065261849145259,2.655061835043531
147,Chili,2019,tourisme,-0.45234781565684856,1.245513751255962
148,Chine,2005,tourisme,-0.5168126050420311,0.6495519027363628
149,Chine,2010,tourisme,-0.44505194800147835,1.1160360203708202
150,Chine,2015,tourisme,-0.16318515953161664,1.991711584726511
151,Chine,2019,tourisme,-0.5842252454941906,0.004985458488091001
152,Chypre,2005,tourisme,0.038708021523468424,1.88285237961946
153,Chypre,2010,tourisme,0.1930631359664274,2.3850925687377043
154,Chypre,2015,tourisme,0.4768671228685686,2.323891066522897
155,Chypre,2019,tourisme,-0.4926721340370961,0.8173671774715833
156,Colombie,2005,tourisme,-0.1668555304229574,1.9628063856013813
157,Colombie,2010,tourisme,0.20265249906315475,2.605205730679406
158,Colombie,2015,tourisme,0.7206777117092003,2.1392742086439918
159,Colombie,2019,tourisme,-0.27244130392882554,1.936887855124062
160,Comores,2005,tourisme,-0.4510813809832143,0.6782542985293943
161,Comores,2010,tourisme,-0.12463494596954802,1.559590509372331
162,Comores,2015,tourisme,-0.5456700244536594,0.3093964386048247
163,Comores,2019,tourisme,-0.6324693653264538,-0.23676722884331317
164,Corée du Nord,2005,tourisme,-0.3797148151972601,1.0765628069110138
165,Corée du Nord,2010,tourisme,-0.6413677392307452,-0.24685867070139755
166,Corée du Nord,2015,tourisme,-0.5830709988100023,-0.039688221511665144
167,Corée du Nord,2019,tourisme,-0.6937119927466794,-0.6375068602385012
168,Corée du Sud,2005,tourisme,-0.05182786170051724,1.9549309860918498
169,Corée du Sud,2010,tourisme,-0.019463350043007113,2.081686887065147
170,Corée du Sud,2015,tourisme,-0.09482191103346395,2.488063819471346
171,Corée du Sud,2019,tourisme,-0.5347669130059778,0.43206928709670506
172,Costa Rica,2005,tourisme,0.8143367813491841,2.453024217739323
173,Costa Rica,2010,tourisme,1.0189203405515186,2.771840534637604
174,Costa Rica,2015,tourisme,1.5080288022122303,2.7836891363137557
175,Costa Rica,2019,tourisme,0.8690653965867731,2.3250439394363696
176,Croatie,2005,tourisme,0.4663379388083777,2.2750905156344743
177,Croatie,2010,tourisme,1.397523030927753,2.7136640917382997
178,Croatie,2015,tourisme,0.46049703390506797,2.3605987341830494
179,Croatie,2019,tourisme,0.6430832122851932,2.4142646067664653
180,Cuba,2005,tourisme,0.10698409012034818,1.7804330128130177
181,Cuba,2010,tourisme,0.6356227829096317,2.5895227278993382
182,Cuba,2015,tourisme,0.3551193108270731,2.171423310921517
183,Cuba,2019,tourisme,0.07969985189624157,1.730006820511471
184,Côte d’Ivoire,2005,tourisme,-0.5012383078352665,0.3929180265697169
185,Côte d’Ivoire,2010,tourisme,-0.4261352085989371,1.0205754366415816
186,Côte d’Ivoire,2015,tourisme,-0.15151526187245504,2.2339321481895236
187,Côte d’Ivoire,2019,tourisme,-0.5833671127596747,0.11290854110496695
188,Danemark,2005,tourisme,-0.2608569420196973,1.759060716216018
189,Danemark,2010,tourisme,-0.019242814570678366,2.1943115420332413
190,Danemark,2015,tourisme,-0.16126141546179645,1.7958103224227113
191,Danemark,2019,tourisme,-0.5217252384027388,0.9177120239423241
192,Djibouti,2005,tourisme,-0.3839137290427735,0.938099422174821
193,Djibouti,2010,tourisme,-0.15573509892442958,1.3620862605041515
194,Djibouti,2015,tourisme,-0.4760478208746175,0.2719246382965202
195,Djibouti,2019,tourisme,-0.4803161552182147,0.8196992561069002
196,Dominique,2005,tourisme,-0.4812669450985531,0.32226427962856236
197,Dominique,2010,tourisme,-0.25882678609439164,1.159612280721583
198,Dominique,2015,tourisme,-0.34381037920337837,0.4579149335459176
199,Dominique,2019,tourisme,-0.36124288339149463,1.2392854508786015
200,Espagne,2005,tourisme,-0.06384383665055098,1.7222845835625182
201,Espagne,2010,tourisme,0.18798278963012474,2.314627270718528
202,Espagne,2015,tourisme,0.49712873894841375,2.232828178254792
203,Espagne,2019,tourisme,-0.3668506393438356,2.135201333687498
204,Estonie,2005,tourisme,-0.0212498290821193,1.750223081474162
205,Estonie,2010,tourisme,0.3536749540658999,2.6254574841067235
206,Estonie,2015,tourisme,0.32357341808232304,2.200528274177768
207,Estonie,2019,tourisme,-0.5013185669662972,0.8349258810281457
208,Eswatini,2005,tourisme,-0.3454544187986392,1.2262038427244366
209,Eswatini,2010,tourisme,-0.17265287628354548,1.9113950596445084
210,Eswatini,2015,tourisme,0.2582827632007757,1.8585974013982247
211,Eswatini,2019,tourisme,-0.34376230213217057,1.8630348836159254
212,Fidji,2005,tourisme,0.7351172564518186,2.194381814674529
213,Fidji,2010,tourisme,0.5476186293696247,2.603774039101718
214,Fidji,2015,tourisme,1.1781427823594575,2.669536271791299
215,Fidji,2019,tourisme,-0.3414159014318132,1.3973714440273446
216,Finlande,2005,tourisme,-0.13816308667466326,1.9090169559805095
217,Finlande,2010,tourisme,0.5849183300132729,2.652752285114951
218,Finlande,2015,tourisme,0.5127670583040725,2.4624025340587132
219,Finlande,2019,tourisme,-0.27101672793145526,2.1718373092345225
220,France,2005,tourisme,-0.2356436568401527,1.320388146373234
221,France,2010,tourisme,-0.41073421762817053,0.8313016834256247
222,France,2015,tourisme,-0.04333458575074794,1.455652157552824
223,France,2019,tourisme,-0.5722685901527887,-0.03225935964255616
224,Gabon,2005,tourisme,-0.3800004502046643,0.8499845492720451
225,Gabon,2010,tourisme,-0.6394184579235012,-0.31374684088297217
226,Gabon,2015,tourisme,-0.543927429219517,0.14230880808429733
227,Gabon,2019,tourisme,-0.681042521422802,-0.44877885368382664
228,Gambie,2005,tourisme,-0.11616102142331726,1.3991046671974985
229,Gambie,2010,tourisme,0.26435483620204697,2.1530666509304095
230,Gambie,2015,tourisme,0.4088498108225511,2.2448993523617067
231,Gambie,2019,tourisme,-0.47795263381957276,0.9550507288441971
232,Ghana,2005,tourisme,-0.38460994903891876,0.917128587178051
233,Ghana,2010,tourisme,-0.46159789915018856,0.6003199356144377
234,Ghana,2015,tourisme,-0.5139459760183489,0.11977076419252053
235,Ghana,2019,tourisme,-0.47404395408626987,1.0436868378278334
236,Grenade,2005,tourisme,0.5449186353024329,1.7993893906147809
237,Grenade,2010,tourisme,0.6868262210128007,2.4487571799325605
238,Grenade,2015,tourisme,0.6856144526627274,2.1184674495070004
239,Grenade,2019,tourisme,-0.0462922942658436,1.6366587263511925
240,Grèce,2005,tourisme,0.10484095960117275,2.0711606140389764
241,Grèce,2010,tourisme,-0.04185012529134324,2.244074742649403
242,Grèce,2015,tourisme,0.43601552028429846,2.408721996038249
243,Grèce,2019,tourisme,-0.33978594806018786,1.9361024402636173
244,Guatemala,2005,tourisme,0.5453501644410413,2.448799705718232
245,Guatemala,2010,tourisme,0.2964373983837657,2.344978569636998
246,Guatemala,2015,tourisme,0.6067411915776788,2.722972015750735
247,Guatemala,2019,tourisme,0.20539718372562846,2.1886215190754346
248,Guinée,2005,tourisme,-0.3625848712022812,1.1521581348918986
249,Guinée,2010,tourisme,-0.6622985487787802,-0.32088516737214606
250,Guinée,2015,tourisme,-0.4874117544879709,0.24046849132934203
251,Guinée,2019,tourisme,-0.5968331193932415,0.04000329718711835
252,Guinée équatoriale,2005,tourisme,-0.36682538870921677,0.7221508491677598
253,Guinée équatoriale,2010,tourisme,-0.34362224951526066,0.7055504931898707
254,Guinée équatoriale,2015,tourisme,-0.0004601258342241042,2.149395287387712
255,Guinée équatoriale,2019,tourisme,-0.6193320836137353,-0.16055621912727708
256,Guinée-Bissau,2005,tourisme,-0.3822759376170684,0.5924825450204662
257,Guinée-Bissau,2010,tourisme,-0.2299694694869003,1.5549231572977165
258,Guinée-Bissau,2015,tourisme,0.16595025196837734,1.851197666423543
259,Guinée-Bissau,2019,tourisme,-0.6570230739160381,-0.36529829412391507
260,Guyana,2005,tourisme,0.007303383224147742,2.2598997939903165
261,Guyana,2010,tourisme,0.008908394660009788,1.7141986063019357
262,Guyana,2015,tourisme,0.10856302549090169,1.6728821891257304
263,Guyana,2019,tourisme,-0.4977729826778492,0.7204950995752677
264,Géorgie,2005,tourisme,-0.39012687673571583,0.7782813826814493
265,Géorgie,2010,tourisme,-0.213372380930299,1.7836326236724271
266,Géorgie,2015,tourisme,0.1146117807917196,2.3725405370315347
267,Géorgie,2019,tourisme,-0.18979911345793624,1.6735654003963472
268,Haïti,2005,tourisme,-0.557221127734758,0.3550408268785481
269,Haïti,2010,tourisme,-0.5448589031482228,0.43289045698862844
270,Haïti,2015,tourisme,-0.5347042538599547,0.15070481703612953
